model: model_u_30a_with_param 准确度:0.772067604599419 f1:0.556481478322184
model: model_u_30a_with_price 准确度:0.798401691762735 f1:0.5650582385118539
model: model_u_30act_h30 准确度:0.8156977573719248 f1:0.5823789163963641
model: model_u_lst10 迭代次数:64 测试集精确率:0.6241379310344828 f1:0.13369773969567145
model: model_u_lst10 迭代次数:65 测试集精确率:0.6255989048596852 f1:0.1349177061037715
model: model_u_lst10 迭代次数:66 测试集精确率:0.6257668711656442 f1:0.13544817410549614
model: model_u_lst10 迭代次数:67 测试集精确率:0.6218034993270525 f1:0.13614262560777957
model: model_u_lst10 迭代次数:68 测试集精确率:0.6211305518169583 f1:0.13599528510387507
model: model_u_lst10 迭代次数:69 测试集精确率:0.6203890006706908 f1:0.1362397820163488
model: model_u_lst10 迭代次数:70 测试集精确率:0.6202277294038848 f1:0.13636698328547234
model: model_u_lst10 迭代次数:71 测试集精确率:0.6216577540106952 f1:0.13692579505300354
model: model_u_lst10 迭代次数:72 测试集精确率:0.6222664015904572 f1:0.13811870265499743
model: model_u_lst10 迭代次数:73 测试集精确率:0.6194225721784777 f1:0.13870114604760508
model: model_u_lst10 迭代次数:74 测试集精确率:0.6196078431372549 f1:0.13922749302393891
model: model_u_lst10 迭代次数:75 测试集精确率:0.6206443129520053 f1:0.13873172165478728
model: model_u_lst10 迭代次数:76 测试集精确率:0.6208935611038108 f1:0.13886847905951508
model: model_u_lst10 迭代次数:77 测试集精确率:0.6203763789746918 f1:0.14028908944163182
model: model_u_lst10 迭代次数:78 测试集精确率:0.6213402732595966 f1:0.1401834862385321
model: model_u_lst10 迭代次数:79 测试集精确率:0.6220779220779221 f1:0.14059289697681243
model: model_u_lst10 迭代次数:80 测试集精确率:0.6179123711340206 f1:0.14061583577712608
model: model_u_lst10 迭代次数:81 测试集精确率:0.6182519280205655 f1:0.14101436528877162
model: model_u_lst10 迭代次数:82 测试集精确率:0.6181001283697047 f1:0.14114026088230983
model: model_u_lst10 迭代次数:83 测试集精确率:0.6183450930083387 f1:0.14127647101927165
model: model_u_lst10 迭代次数:84 测试集精确率:0.6146496815286624 f1:0.141309122858398
model: model_u_lst10 迭代次数:85 测试集精确率:0.6149936467598475 f1:0.14170692431561996
model: model_u_lst10 迭代次数:86 测试集精确率:0.6163601775523145 f1:0.14226125137211856
model: model_u_lst10 迭代次数:87 测试集精确率:0.61659333752357 f1:0.14343153739308429
model: model_u_lst10 迭代次数:88 测试集精确率:0.6167814652473388 f1:0.14395323346729996
model: model_u_lst10 迭代次数:89 测试集精确率:0.6148055207026348 f1:0.1432539102470399
model: model_u_lst10 迭代次数:90 测试集精确率:0.6149029430181591 f1:0.14351479722323712
model: model_u_lst10 迭代次数:91 测试集精确率:0.6160547604231488 f1:0.14457831325301204
model: model_u_lst10 迭代次数:92 测试集精确率:0.61625 f1:0.14406779661016947
model: model_u_lst10 迭代次数:93 测试集精确率:0.6149068322981367 f1:0.1445466491458607
model: model_u_lst10 迭代次数:94 测试集精确率:0.6172839506172839 f1:0.14590020426028597
model: model_u_lst10 迭代次数:95 测试集精确率:0.6165644171779141 f1:0.14652281673713372
model: model_u_lst10 迭代次数:96 测试集精确率:0.6170866625691457 f1:0.14640904119577106
